rsr_filename,snr0 (dBHz)
co-s-rss-1-sroc1-v10/cors_0111/sroc1_159/rsr/s11sroe2005159_1715nnns14rd.2b2, 44.0242
co-s-rss-1-sroc1-v10/cors_0112/sroc1_159/rsr/s11sroe2005159_1715nnns63rd.2b2, 42.5152
co-s-rss-1-sroc1-v10/cors_0112/sroc1_159/rsr/s11sroe2005159_1715nnnx14rd.2a2, 54.8754
co-s-rss-1-sroc1-v10/cors_0112/sroc1_159/rsr/s11sroe2005159_1715nnnx25rd.1a2, 48.2909
co-s-rss-1-sroc1-v10/cors_0113/sroc1_159/rsr/s11sroe2005159_1715nnnx26rd.3a2, 48.9478
co-s-rss-1-sroc1-v10/cors_0113/sroc1_159/rsr/s11sroe2005159_1715nnnx55rd.1a2, 48.7515
co-s-rss-1-sroc1-v10/cors_0113/sroc1_159/rsr/s11sroe2005159_1715nnnx63rd.2a2, 53.6246
co-s-rss-1-sroc1-v10/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnk25rd.1b2, 48.1085
co-s-rss-1-sroc1-v10/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnk26rd.3b2, 49.6338
co-s-rss-1-sroc1-v10/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnns14rd.2b2, 37.4652
co-s-rss-1-sroc1-v10/cors_0114/sroc1_177/rsr/s12sroe2005177_2226nnnx14rd.2a2, 55.0154
co-s-rss-1-sroc1-v10/cors_0115/sroc1_177/rsr/s12sroe2005177_2226nnnx25rd.1a2, 48.4805
co-s-rss-1-sroc1-v10/cors_0115/sroc1_177/rsr/s12sroe2005177_2226nnnx26rd.3a2, 48.9190
co-s-rss-1-sroc1-v10/cors_0115/sroc1_177/rsr/s12sroi2005177_1741nnnk25rd.1b2, 48.4489
co-s-rss-1-sroc1-v10/cors_0115/sroc1_177/rsr/s12sroi2005177_1741nnnk26rd.3b2, 49.1654
co-s-rss-1-sroc1-v10/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnns14rd.2b2, 37.8879
co-s-rss-1-sroc1-v10/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx14rd.2a2, 54.8987
co-s-rss-1-sroc1-v10/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx25rd.1a2, 48.3277
co-s-rss-1-sroc1-v10/cors_0116/sroc1_177/rsr/s12sroi2005177_1741nnnx26rd.3a2, 48.8291
co-s-rss-1-sroc2-v10/cors_0118/sroc2_196/rsr/s12sroe2005196_0505nnnk34rd.1b2, 47.1106
